,combination,difference,distance,gen,tra
0,173.315681381,4.92148243617,1.68394198945,0,0
0,1572.16291781,124.298039139,14.4786487867,0,0
0,168.983167021,15.6375908037,1.53345576218,0,0
0,274.990531672,9.29668127677,2.65693850395,0,0
0,253.781310664,31.1562074278,2.22625103236,0,0
0,278.133786217,31.6060636174,2.465277226,0,0
0,1381.13760023,90.0565999474,12.9108100028,0,0
0,1176.84500462,71.7664995699,11.0507850505,0,0
0,311.771135053,35.8368186437,2.75934316409,0,0
0,412.316087855,44.5424373358,3.6777365052,0,0
0,722.531217602,62.9898335102,6.59541384092,0,0
0,540.808779846,101.641397492,4.39167382354,0,0
0,465.868016226,65.2441351673,4.00623881059,0,0
0,598.565722024,86.311252621,5.12254469403,0,0
0,757.337576546,103.58257095,6.53755005596,0,0
1,544.389713653,90.0448181635,4.54344895489,1,0
1,370.821074101,49.7178859976,3.21103188104,1,0
1,339.634608235,45.0868090591,2.94547799176,1,0
1,540.808779846,101.641397492,4.39167382354,1,0
1,36.6379782528,3.90612303499,0.327318552178,1,0
1,253.781310664,31.1562074278,2.22625103236,1,0
1,339.82231105,46.6851351051,2.93137175945,1,0
1,126.095285383,14.6295853786,1.11465700004,1,0
1,60.535503708,7.34978282711,0.531857208809,1,0
1,86.6554557319,10.5579992018,0.760974565301,1,0
1,132.225477514,8.72214238319,1.23503335131,1,0
1,80.4437502175,9.48427561225,0.709594746052,1,0
1,169.393148828,20.6410973852,1.48752051443,1,0
1,867.558599085,26.9607328559,8.40597866229,1,0
1,304.051001893,4.59162296683,2.99459378926,1,0
2,51.5512920166,0.148424191583,0.51402867825,2,0
2,95.5150614968,4.48426169155,0.910307998053,2,0
2,108.043202998,9.70769627686,0.983355067214,2,0
2,702.340831233,18.6833360975,6.83657495135,2,0
2,138.568471396,10.8367652338,1.27731706162,2,0
2,132.225477514,8.72214238319,1.23503335131,2,0
2,186.465924276,1.48362366744,1.84982300609,2,0
2,171.012445557,1.59344555401,1.69419000003,2,0
2,304.051001893,4.59162296683,2.99459378926,2,0
2,243.685152021,1.90693244225,2.41778219578,2,0
2,249.817619491,6.54349948809,2.43274120003,2,0
2,544.26940186,37.5975374479,5.06671864412,2,0
2,592.281925519,39.2611221888,5.5302080333,2,0
2,599.368485911,15.7671283036,5.83601357607,2,0
2,867.558599085,26.9607328559,8.40597866229,2,0
3,51.5512920166,0.148424191583,0.51402867825,3,0
3,186.465924276,1.48362366744,1.84982300609,3,0
3,201.430042592,17.2067085088,1.84223334083,3,0
3,179.974325856,18.580998074,1.61393327782,3,0
3,98.0603327133,7.87132848662,0.901890042267,3,0
3,64.1993838266,4.67192423904,0.595274595876,3,0
3,108.845587629,8.32586071897,1.0051972691,3,0
3,189.215355843,23.9062738225,1.6530908202,3,0
3,126.490295282,14.6270689585,1.11863226323,3,0
3,97.1836715037,11.5345406444,0.856491308593,3,0
3,320.132482212,42.1080206859,2.78024461526,3,0
3,156.869886798,19.3195457702,1.37550341028,3,0
3,664.69591666,145.056124912,5.19639791748,3,0
3,352.580916734,44.3661441048,3.08214772629,3,0
3,326.920176095,38.45090113,2.88469274965,3,0
4,189.215355843,23.9062738225,1.6530908202,4,0
4,98.0603327133,7.87132848662,0.901890042267,4,0
4,97.1836715037,11.5345406444,0.856491308593,4,0
4,156.869886798,19.3195457702,1.37550341028,4,0
4,175.387544649,12.4829522675,1.62904592381,4,0
4,320.132482212,42.1080206859,2.78024461526,4,0
